JSM Corporation
Inox Leisure Ltd
Vero Moda Retail Pvt Ltd
Amalgamated Bean Cofee Trading Co.Ltd.(Coffee day)
La Senza - Major Brands (India) Pvt Ltd
Zimson
Punjab Crockery Tommy Adult
Major-Aldo
Major-Inglot
Reliance brands Ltd - Steve Madden
Major-Promod India Pvt LTd
Major-CIS
Planet Retail Holdings-Body Shp(Quest Retails)
Ample-Apple
DLF-Claries
DLF-Sunglass
Forever 21 - Aditya Birla fashion and retail Limited
Shoppers Stop Ltd - Licence Fees
Trent Ltd.(Westside)
Australian Foods India Private Limited(CoOKiman)(Soniraj)
Pan India Food Solutions Pvt. Ltd.
Atlas Brands (P) Ltd
Colour Bar
Euronet Services India Pvt. Ltd. HSBC-ATM
Euronet Services India Pvt. Ltd. CITY BANK-ATM
Tibbs-Frankie (Tastebuds)
Amalgamated Been Coffee Trading  Co.Ltd.- Kiosk- Coffee Day Xpress
Car-Durt Blaster
Gute Reise India Pvt Ltd
SIYARAM SILK MILLS LTD
Arvind LS-Arrow
Arvind LS-US Polo
Arvind LS-Izod
Emerald Inc - SWAROVSKI
Hidesign India Pvt. Ltd.
Nike (RJ Corp Ltd.)
Jumbo Electronics Corporation Pvt. Ltd.
Rayban (ANZ Entp)
Baggit
William Penn
Accessorize (Planet  Retails Holding Pvt. Ltd.)
S. K. Enterprises (Amaltas)
Venus Confectionery
Zimson times-Kiosk
Mahendra Marketing
Kukaz saloon
House Of Anita Dongre Ltd
Fab India
M D Retail
Arvind LF-Flyng Mchn
Esjay International Pvt Ltd(Chemistry)
Gokuldas (Enamor)
Forever New
Allen Solly-women (Aditya Shop no. 216)
Mustard Clothing
MSH Sarees
Bagzone - Samsonite
Mint
Coffee Day Global Limited
Sahana Ballal - Caf� Prime Time
"Elisir Lifestyle Pvt. Ltd., - SPUNK"
HeaLth & Glow Retailing Pvt. Ltd.
Rhea(Mother Care)
Dev Jewellery (India Trading)
Priority Mktg Pvt. Ltd.(Just Watch)
Soles Fashion
Kalmane
Global Desi( AND DESIGN INDIA PVT. LTD)
Sangani Novelty & Haircrafts(See & Take)
De moza-Adhira Exports
H. M . Leisure
Kobe - May Fair Entertainment N/w P Ltd
Sacred Lotus Designs Pvt. Ltd.
Trust-Pharmacy
ANZ Enterprises(Timex)
Temporary Tatto
Yum Restaurant (KFC)
J.S.Hospitality Services Pvt.Ltd.(Pind Balluchi)
Crazy concept & Mazes Pvt. Ltd.(Scary  House)
TCS & SONS (ITDC)
Headphone-Zone
Sri Sai Telecom
H. M . Leisure -2
Aditya Ent-Inc
Flavours of India - Panchavati Gaurav
Masti Health And  Beauty Pvt. Ltd(O2 Spa)
Imagicom Ventures Private Limited
Metro Shoes Ltd
Lafi Enterprises
Chumbak Design Private Limited
VIP Industries
BLR Knits Private Limited
IKON Retails pvt Ltd
High Flavours - Haldirams
Arvind Sports Lifestyle Limited - Stride
Blue Saint
Levis - Indauto filters
AU BON Pain CAF� india limited.
VIP Industries
Genesis Color Pvt Ltd
Surabhi Kala
PVR Enterprise
Shoppers Stop Ltd - Licence Fees
Archies
Sridievi  Associates Pvt. Ltd. Adidas
Lukose Creation-Presto
Raymond
Ginger Kzrve India pvt ltd
Others
